DATE,INTERNETUSERS
1990-01-01,0
1991-01-01,0.013283591
1992-01-01,0.038869106
1993-01-01,0.113747184
1994-01-01,0.246905533
1995-01-01,0.676740104
1996-01-01,0.841882931
1997-01-01,1.632093791
1998-01-01,2.906220867
1999-01-01,4.116249583
2000-01-01,5.34856
2001-01-01,6.34662
2002-01-01,6.71032
2003-01-01,7.00769
2004-01-01,8.42512
2005-01-01,7.48854
2006-01-01,7.60714
2007-01-01,8.06538
2008-01-01,8.43
2009-01-01,10.0
2010-01-01,24.0
2011-01-01,33.97
2012-01-01,41.0
2013-01-01,46.5
2014-01-01,49.0
2015-01-01,51.9191
2016-01-01,54.0
2017-01-01,56.1674
2018-01-01,62.4
2019-01-01,69.6969
2020-01-01,72.1128
2021-01-01,74.1534
2022-01-01,74.703
